0|EAC4468893_1|1|1|emrC_Lis|emrC_Lis||1|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|multidrug_efflux_transporter_outer_membrane_subunit_EmrC	QUATERNARY AMMONIUM
1022678466|WP_063434356_1|1|1|blaACT-95|blaACT|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-95	BETA-LACTAM
1022944076|WP_063454569_1|1|1|blaOXA-498|blaOXA-211_fam|hydrolase|2|||OXA-211_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-498	BETA-LACTAM
1024365516|WP_063501636_1|1|1|oqxB29|oqxB|efflux|2|PHENICOL_QUINOLONE|PHENICOL_QUINOLONE|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	PHENICOL/QUINOLONE
1025734636|WP_063553425_1|1|1|blaCMY-38|blaCMY|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_CMY-38	BETA-LACTAM
1025776103|CZR78671_1|1|1|vanT-Cd|vanT-Cd|re-structuring_of_the_cell_wall|1|VANCOMYCIN|GLYCOPEPTIDE|membrane-bound_serine_racemase_VanT-Cd	GLYCOPEPTIDE
1025836204|WP_063569909_1|1|1|blaOXA-258|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-258	BETA-LACTAM
1027667609|WP_063610930_1|1|1|blaEC-15|blaEC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_EC-15	BETA-LACTAM
1027670681|WP_063612062_1|1|1|aac(6_)-Ib-AKT|aac(6_)-Ib-AKT|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1027912433|WP_063796790_1|1|1|erm(Z)|erm(Z)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(Z)	MACROLIDE
1028074075|WP_063838852_1|1|2|aac(3)-Ib|aac(3)-Ib|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib_aminoglycoside_N-acetyltransferase_AAC(6_)-Ib__	AMINOGLYCOSIDE
1028074076|WP_063838853_1|1|2|aac(6_)-30|aac(6_)-30|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6_)-30_aminoglycoside_N-acetyltransferase_AAC(6_)-Ib_	AMINOGLYCOSIDE
1028078994|WP_063839875_1|1|2|ant(3__)-Ij|ant(3__)-Ij|nucleotidyltransferase|2|SPECTINOMYCIN_STREPTOMYCIN|AMINOGLYCOSIDE|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3__)-Ij_aminoglycoside_N-acetyltransferase_AAC(6_)-Ib	AMINOGLYCOSIDE
1028078996|WP_063839877_1|1|2|blaOXA-PR|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|bifunctional_class_C_beta-lactamase_class_D_beta-lactamase_fusion_protein_LRA-13	BETA-LACTAM
1028078997|WP_063839878_1|1|2|ant(3__)-Ih|ant(3__)-Ih|nucleotidyltransferase|2|SPECTINOMYCIN_STREPTOMYCIN|AMINOGLYCOSIDE|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3__)-Ih_aminoglycoside_N-acetyltransferase_AAC(6_)-Iid	AMINOGLYCOSIDE
1028078998|WP_063839879_1|1|1|BcII|BcII|hydrolase|2|CARBAPENEM|BETA-LACTAM|BcII_family_subclass_B1_metallo-beta-lactamase	BETA-LACTAM
1028078999|WP_063839880_1|1|1|BcII|BcII|hydrolase|2|CARBAPENEM|BETA-LACTAM|BcII_family_subclass_B1_metallo-beta-lactamase	BETA-LACTAM
1028079000|WP_063839881_1|1|1|aac(2_)-IIa|aac(2_)-IIa|acetyltransferase|2|KASUGAMYCIN|AMINOGLYCOSIDE|kasugamycin_N-acetyltransferase_AAC(2_)-IIa	AMINOGLYCOSIDE
1028080873|WP_063840256_1|1|1|aac(3)-I|aac(3)-I|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase	AMINOGLYCOSIDE
1028080874|WP_063840257_1|1|1|aac(3)-Ia|aac(3)-Ia|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-Ia	AMINOGLYCOSIDE
1028080875|WP_063840258_1|1|1|aac(3)-Ia|aac(3)-Ia|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-Ia	AMINOGLYCOSIDE
1028080876|WP_063840259_1|1|1|aac(3)-Ia|aac(3)-Ia|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-Ia	AMINOGLYCOSIDE
1028080877|WP_063840260_1|1|1|aac(3)-I|aac(3)-I|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase	AMINOGLYCOSIDE
1028080878|WP_063840261_1|1|1|aac(3)-IIIa|aac(3)-IIIa|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-IIIa	AMINOGLYCOSIDE
1028080880|WP_063840263_1|1|1|aac(3)-IIIc|aac(3)-IIIc|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-IIIc	AMINOGLYCOSIDE
1028080881|WP_063840264_1|1|1|aac(3)-IIa|aac(3)-IIa|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-IIa	AMINOGLYCOSIDE
1028080882|WP_063840265_1|1|1|aac(3)-IId|aac(3)-IId|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-IId	AMINOGLYCOSIDE
1028080883|WP_063840266_1|1|1|aac(3)-IIc|aac(3)-IIc|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-IIc	AMINOGLYCOSIDE
1028080884|WP_063840267_1|1|1|aac(3)-IIe|aac(3)-IIe|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-IIe	AMINOGLYCOSIDE
1028080886|WP_063840269_1|1|1|aac(3)-IXa|aac(3)-IXa|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-IXa	AMINOGLYCOSIDE
1028080887|WP_063840270_1|1|1|aac(3)-VIII|aac(3)-VIII|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-VIII	AMINOGLYCOSIDE
1028080888|WP_063840271_1|1|1|aac(3)-VIII|aac(3)-VIII|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-VIII	AMINOGLYCOSIDE
1028080889|WP_063840272_1|1|1|aac(3)-VIIa|aac(3)-VIIa|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-VIIa	AMINOGLYCOSIDE
1028080890|WP_063840273_1|1|1|aac(3)-VIa|aac(3)-VIa|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-VIa	AMINOGLYCOSIDE
1028080891|WP_063840274_1|1|1|aac(6_)-I30|aac(6_)_Ia_fam|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase_AAC(6_)-I30	AMINOGLYCOSIDE
1028080892|WP_063840275_1|1|1|aacA40|aacA40|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase_AacA40	AMINOGLYCOSIDE
1028080893|WP_063840276_1|1|1|aac(6_)-IIb|aac(6_)-II|acetyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-IIb	AMINOGLYCOSIDE
1028080894|WP_063840277_1|1|1|aac(6_)-Iad|aac(6_)-Iad|acetyltransferase|2|AMIKACIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Iad	AMINOGLYCOSIDE
1028080895|WP_063840278_1|1|1|aac(6_)-Iaf|aac(6_)_Ia_fam|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase_AAC(6_)-Iaf	AMINOGLYCOSIDE
1028080896|WP_063840279_1|1|1|aac(6_)-Iai|aac(6_)_Ia_fam|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase_AAC(6_)-Iai	AMINOGLYCOSIDE
1028080897|WP_063840280_1|1|1|aac(6_)-Ib-AKT|aac(6_)-Ib-AKT|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1028080898|WP_063840281_1|1|1|aac(6_)-Ib-AKT|aac(6_)-Ib-AKT|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1028080899|WP_063840282_1|1|1|aac(6_)-Ib-K|aac(6_)-Ib-K|acetyltransferase|2|KANAMYCIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1028080900|WP_063840283_1|1|1|aac(6_)-Ib-AKT|aac(6_)-Ib-AKT|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1028080936|WP_063840319_1|1|1|aac(6_)-Ib-AKT|aac(6_)-Ib-AKT|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1028080937|WP_063840320_1|1|1|aac(6_)-Ib-cr6|aac(6_)-Ib-cr|acetyltransferase|2|AMIKACIN_KANAMYCIN_QUINOLONE_TOBRAMYCIN|AMINOGLYCOSIDE_QUINOLONE|fluoroquinolone-acetylating_aminoglycoside_6_-N-acetyltransferase_AAC(6_)-Ib-cr6	AMINOGLYCOSIDE/QUINOLONE
1028080938|WP_063840321_1|1|1|aac(6_)-Ib-cr5|aac(6_)-Ib-cr|acetyltransferase|2|AMIKACIN_KANAMYCIN_QUINOLONE_TOBRAMYCIN|AMINOGLYCOSIDE_QUINOLONE|fluoroquinolone-acetylating_aminoglycoside_6_-N-acetyltransferase_AAC(6_)-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE
1028080940|WP_063840323_1|1|1|aac(6_)-Ik|aac(6_)_Acine|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Ik	AMINOGLYCOSIDE
1028080941|WP_063840324_1|1|1|aac(6_)-Il|aac(6_)-Il|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Il	AMINOGLYCOSIDE
1028080942|WP_063840325_1|1|1|aac(6_)-Il|aac(6_)-Il|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Il	AMINOGLYCOSIDE
1028080944|WP_063840327_1|1|1|aac(6_)-Ir|aac(6_)_Acine|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Ir	AMINOGLYCOSIDE
1028080945|WP_063840328_1|1|1|aac(6_)-Is|aac(6_)_Acine|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Is	AMINOGLYCOSIDE
1028080946|WP_063840329_1|1|1|aac(6_)-It|aac(6_)_Acine|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-It	AMINOGLYCOSIDE
1028080947|WP_063840330_1|1|1|aac(6_)-Ix|aac(6_)_Acine|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Ix	AMINOGLYCOSIDE
1028080949|WP_063840332_1|1|1|aacA37|aacA37|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase_AacA37	AMINOGLYCOSIDE
1028081032|WP_063840415_1|1|1|aadA11|aadA11|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA11	AMINOGLYCOSIDE
1028081033|WP_063840416_1|1|1|aadA17|ant(3__)-Ia|nucleotidyltransferase|2|SPECTINOMYCIN_STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA17	AMINOGLYCOSIDE
1028081052|WP_063840435_1|1|1|aadA21|aadA21|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA21	AMINOGLYCOSIDE
1028081053|WP_063840436_1|1|1|aadA21|aadA21|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA21	AMINOGLYCOSIDE
1028081058|WP_063840441_1|1|1|aadA3|aadA3|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA3	AMINOGLYCOSIDE
1028081059|WP_063840442_1|1|1|aadA3|aadA3|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA3	AMINOGLYCOSIDE
1028081060|WP_063840443_1|1|1|aadA4|aadA4|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA4	AMINOGLYCOSIDE
1028081061|WP_063840444_1|1|1|aadA4|aadA4|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA4	AMINOGLYCOSIDE
1028081071|WP_063840454_1|1|1|aadA6|aadA6|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA6	AMINOGLYCOSIDE
1028081072|WP_063840455_1|1|1|aadA7|aadA7|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	AMINOGLYCOSIDE
1028081073|WP_063840456_1|1|1|aadA7|aadA7|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	AMINOGLYCOSIDE
1028081074|WP_063840457_1|1|1|aadA8|aadA8|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	AMINOGLYCOSIDE
1028081075|WP_063840458_1|1|1|aadA9|aadA9|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA9	AMINOGLYCOSIDE
1028081076|WP_063840459_1|1|1|aadA9|aadA9|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA9	AMINOGLYCOSIDE
1028081077|WP_063840460_1|1|1|ant(4_)-Ia|ant(4_)-Ia|nucleotidyltransferase|2|KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-nucleotidyltransferase_ANT(4_)-Ia	AMINOGLYCOSIDE
1028081078|WP_063840461_1|1|1|ant(4_)-Ia|ant(4_)-Ia|nucleotidyltransferase|2|KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-nucleotidyltransferase_ANT(4_)-Ia	AMINOGLYCOSIDE
1028081080|WP_063840463_1|1|1|blaCMY-FOX|blaCMY-FOX|hydrolase|2|BETA-LACTAM|BETA-LACTAM|FOX_MOX_family_class_C_beta-lactamase	BETA-LACTAM
1028081082|WP_063840465_1|1|1|blaSRT|blaSRT|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|SRT_SST_family_class_C_beta-lactamase	BETA-LACTAM
1028081083|WP_063840466_1|1|1|bla-C|bla-C|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_C_beta-lactamase	BETA-LACTAM
1028081124|WP_063840507_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1028081125|WP_063840508_1|1|1|ant(4_)-IIa|ant(4_)-IIa|nucleotidyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(4_)-IIa	AMINOGLYCOSIDE
1028081126|WP_063840509_1|1|1|ant(4_)-IIb|ant(4_)-IIb|nucleotidyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(4_)-IIb	AMINOGLYCOSIDE
1028081339|WP_063840673_1|1|1|ant(9)-Ib|ant(9)-Ib|nucleotidyltransferase|2|SPECTINOMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(9)-Ib	AMINOGLYCOSIDE
1028081340|WP_063840674_1|1|1|aph(2__)-IIa|aph(2__)-IIa|phosphotransferase|2|AMIKACIN_GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(2__)-IIa	AMINOGLYCOSIDE
1028081341|WP_063840675_1|1|1|aph(2__)-If|aph(2__)-If|phosphotransferase|2|AMIKACIN_GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(2__)-If	AMINOGLYCOSIDE
1028081342|WP_063840676_1|1|1|aph(3__)-Ia|aph(3__)-Ia|phosphotransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(3__)-Ia	AMINOGLYCOSIDE
1028081343|WP_063840677_1|1|1|aph(3__)-Ia|aph(3__)-Ia|phosphotransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(3__)-Ia	AMINOGLYCOSIDE
1028081748|WP_063841015_1|1|1|aph(3__)-Ic|aph(3__)-Ic|phosphotransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(3__)-Ic	AMINOGLYCOSIDE
1028082228|WP_063841495_1|1|1|aph(3_)-IIIa|aph(3_)-IIIa|phosphotransferase|2|AMIKACIN_KANAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(3_)-IIIa	AMINOGLYCOSIDE
1028082240|WP_063841507_1|1|1|aph(3_)-IIIa|aph(3_)-IIIa|phosphotransferase|2|AMIKACIN_KANAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(3_)-IIIa	AMINOGLYCOSIDE
1028082394|WP_063841661_1|1|1|aph(3_)-IIc|aph(3_)-IIc|phosphotransferase|2|KANAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(3_)-IIc	AMINOGLYCOSIDE
